From_City,From_lon,From_lat
Sydney,-33.868,151.21
Rockhampton,-23.3783,150.5134
Port Augusta,-32.4909,137.764
Perth,-31.9527,115.8605
Newcastle,-32.9273,151.7813
Mount Isa,-20.729,139.4932
Melbourne,-37.8142,144.9632
Launceston,-41.4341,147.1373
Kalgoorlie,-30.7532,121.4694
Hobart,-42.8825,147.3281
Darwin,-12.461,130.841
Canberra,-35.2819,149.1289
Cairns,-16.9205,145.7719
Broome,-17.9567,122.224
Broken Hill,-31.9605,141.4579
Brisbane,-27.469,153.0235
Bendigo,-36.7589,144.2826
Alice Springs,-23.6984,133.8813
Albany,-35.0248,117.8836
Adelaide,-34.9329,138.5998
